id,strava_activity_id,activity_name,distance,elapsed_time,moving_time,date,elevation_gain,average_heartrate,max_heartrate,final_time,final_distance,event_name,is_hidden,has_polyline,polyline_length,source,is_parkrun,year,month,day_of_week,hour,day_name,pace_min_per_km,distance_km,time_minutes
4315,16099806872,Reddall Reserve Park Run,5037.5,1183,1183,2025-10-11 08:01:59+00:00,5.0,164.9,175.0,1183,5037.5,parkrun,1,1,432.0,oauth,True,2025,10,5,8,Saturday,3.913978494623656,5.0375,19.716666666666665
748,16099530191,Singleton parkrun,4963.9,2024,2018,2025-10-11 08:01:02+00:00,19.0,120.7,139.0,2018,4963.9,parkrun,1,1,433.0,oauth,True,2025,10,5,8,Saturday,6.775586400478119,4.9639,33.63333333333333
4316,15948393670,The 500th Cooks River Park Run Anniversary,5019.7,1207,1174,2025-09-27 08:06:44+00:00,25.0,171.3,183.0,1174,5019.7,parkrun,1,1,421.0,oauth,True,2025,9,5,8,Saturday,3.897975310609532,5.019699999999999,19.566666666666666
750,15947123155,Cookies 500!,5005.0,1297,1297,2025-09-27 08:06:42+00:00,28.0,163.6,177.0,1297,5005.0,parkrun,1,1,486.0,oauth,True,2025,9,5,8,Saturday,4.319014319014319,5.005,21.616666666666667
751,15790615343,Casula parkrun,5021.5,1289,1285,2025-09-13 08:04:56+00:00,28.0,166.0,186.0,1285,5021.5,parkrun,1,1,487.0,oauth,True,2025,9,5,8,Saturday,4.264993859736467,5.0215,21.416666666666668
754,15235653101,Woodies Centennial parky TT,5024.3,1308,1308,2025-07-26 07:01:05+00:00,17.0,162.1,173.0,1308,5024.3,parkrun,1,1,413.0,oauth,True,2025,7,5,7,Saturday,4.33891288338674,5.0243,21.8
756,15159429643,Chipping Norton parky,5004.8,1274,1270,2025-07-19 08:03:15+00:00,21.0,159.7,180.0,1270,5004.8,parkrun,1,1,517.0,oauth,True,2025,7,5,8,Saturday,4.229273231031543,5.0048,21.166666666666668
758,15083451828,Queanbeyan parky,5000.1,1359,1356,2025-07-12 08:05:31+00:00,96.0,160.4,172.0,1356,5000.1,parkrun,1,1,492.0,oauth,True,2025,7,5,8,Saturday,4.519909601807964,5.000100000000001,22.6
764,14718032463,Panania parky,5004.4,1269,1266,2025-06-07 08:09:00+00:00,18.0,163.6,189.0,1266,5004.4,parkrun,1,1,485.0,oauth,True,2025,6,5,8,Saturday,4.216289665094718,5.0043999999999995,21.1
2238,14717990118,official sub20 parkrun achieved!,4987.7,1183,1183,2025-06-07 08:02:31+00:00,3.0,160.2,173.0,1183,4987.7,parkrun,1,1,566.0,oauth,True,2025,6,5,8,Saturday,3.953057855658252,4.9877,19.716666666666665
766,14646059332,MQ parky - woodies TT2,4779.2,1270,1261,2025-05-31 08:08:00+00:00,56.0,165.8,184.0,1261,4779.2,parkrun,1,1,569.0,oauth,True,2025,5,5,8,Saturday,4.397528177658744,4.7791999999999994,21.016666666666666
768,14285748662,Coombies,5006.3,1326,1326,2025-04-26 08:02:23+00:00,38.0,161.8,172.0,1326,5006.3,parkrun,1,1,458.0,oauth,True,2025,4,5,8,Saturday,4.414437808361464,5.0063,22.1
775,14014819331,Greenway Woodies TT,5000.0,1280,1280,2025-03-29 08:02:10+00:00,9.0,159.6,171.0,1280,5000.0,parkrun,1,1,500.0,oauth,True,2025,3,5,8,Saturday,4.266666666666667,5.0,21.333333333333332
777,13949121443,Cookies,4966.3,1301,1296,2025-03-22 08:01:05+00:00,25.0,163.3,171.0,1296,4966.3,parkrun,1,1,456.0,oauth,True,2025,3,5,8,Saturday,4.3493143789138795,4.9663,21.6
779,13567535924,Pyrmont,5060.4,1659,1647,2025-02-08 08:01:34+00:00,10.0,136.0,148.0,1647,5060.4,parkrun,1,1,523.0,oauth,True,2025,2,5,8,Saturday,5.424472373725398,5.0604,27.45
781,13504550619,Cookies 10th birthday!,4994.1,1309,1309,2025-02-01 08:05:50+00:00,27.0,164.6,173.0,1309,4994.1,parkrun,1,1,478.0,oauth,True,2025,2,5,8,Saturday,4.368488149349566,4.9941,21.816666666666666
783,13061375595,Cookies soup run,5033.1,1331,1331,2024-12-07 08:03:29+00:00,30.0,164.2,175.0,1331,5033.1,parkrun,1,1,491.0,oauth,True,2024,12,5,8,Saturday,4.407489088898161,5.0331,22.183333333333334
785,12855012547,Greenway parky 25min pacer,5041.6,1510,1506,2024-11-09 08:01:58+00:00,5.0,151.0,163.0,1506,5041.6,parkrun,1,1,519.0,oauth,True,2024,11,5,8,Saturday,4.978578229133608,5.041600000000001,25.1
789,12688191184,Cookies,5034.0,1311,1311,2024-10-19 08:02:20+00:00,27.0,164.0,172.0,1311,5034.0,parkrun,1,1,488.0,oauth,True,2024,10,5,8,Saturday,4.340484704012714,5.034,21.85
793,12518932599,Woodies time trial 4,5021.6,1281,1281,2024-09-28 08:00:48+00:00,26.0,165.2,176.0,1281,5021.6,parkrun,1,1,470.0,oauth,True,2024,9,5,8,Saturday,4.251632945674685,5.0216,21.35
4318,12519529212,Cooks River Park Run,4962.6,1135,1135,2024-09-28 08:00:47+00:00,25.0,172.1,182.0,1135,4962.6,parkrun,1,1,397.0,oauth,True,2024,9,5,8,Saturday,3.8118459409718026,4.9626,18.916666666666668
803,12284533954,ğŸªğŸªğŸª,5003.2,1283,1283,2024-08-31 08:03:24+00:00,30.0,163.1,172.0,1283,5003.2,parkrun,1,1,478.0,oauth,True,2024,8,5,8,Saturday,4.273931350602282,5.0032,21.383333333333333
806,12047239963,Panania parky,5003.4,1267,1267,2024-08-03 08:02:28+00:00,18.0,163.8,177.0,1267,5003.4,parkrun,1,1,444.0,oauth,True,2024,8,5,8,Saturday,4.2204634182089515,5.0034,21.116666666666667
4321,12047094865,Panania Park Run,4993.0,1138,1138,2024-08-03 08:02:28+00:00,6.0,169.0,187.0,1138,4993.0,parkrun,1,1,486.0,oauth,True,2024,8,5,8,Saturday,3.7986514453568323,4.993,18.966666666666665
4322,11989299934,Park Run,4994.4,1163,1163,2024-07-27 08:02:37+00:00,71.0,166.7,180.0,1163,4994.4,parkrun,1,1,532.0,oauth,True,2024,7,5,8,Saturday,3.8810134016765443,4.9944,19.383333333333333
808,11989147384,Wet cookies,5028.2,1286,1283,2024-07-27 08:00:57+00:00,33.0,159.7,173.0,1283,5028.2,parkrun,1,1,518.0,oauth,True,2024,7,5,8,Saturday,4.252681542765469,5.0282,21.383333333333333
810,11873090012,Point Hut Pond parkrun,4960.5,1298,1293,2024-07-13 08:01:03+00:00,39.0,158.0,169.0,1293,4960.5,parkrun,1,1,454.0,oauth,True,2024,7,5,8,Saturday,4.344320129019253,4.9605,21.55
814,11707650656,Wet cookies,5001.8,1298,1292,2024-06-22 08:01:47+00:00,33.0,160.7,174.0,1292,5001.8,parkrun,1,1,522.0,oauth,True,2024,6,5,8,Saturday,4.305116824609807,5.0018,21.533333333333335
4323,11543440778,Dolls Point Park Run,4955.5,1150,1150,2024-06-01 08:03:26+00:00,3.0,167.7,181.0,1150,4955.5,parkrun,1,1,358.0,oauth,True,2024,6,5,8,Saturday,3.8677563649816706,4.9555,19.166666666666668
816,11543312085,Dollyâ€™s parky,4981.1,1260,1260,2024-06-01 08:03:23+00:00,8.0,166.6,177.0,1260,4981.1,parkrun,1,1,326.0,oauth,True,2024,6,5,8,Saturday,4.215936238983357,4.9811000000000005,21.0
819,11271153084,Coombs parky,4992.2,1283,1283,2024-04-27 08:00:13+00:00,37.0,163.8,182.0,1283,4992.2,parkrun,1,1,464.0,oauth,True,2024,4,5,8,Saturday,4.283348690624041,4.9921999999999995,21.383333333333333
821,11114585133,Greenie,5020.5,1262,1262,2024-04-06 08:00:27+00:00,6.0,166.2,177.0,1262,5020.5,parkrun,1,1,500.0,oauth,True,2024,4,5,8,Saturday,4.189489758656176,5.0205,21.033333333333335
822,11064748303,Cookies,5000.6,1286,1283,2024-03-30 07:59:35+00:00,32.0,162.0,173.0,1283,5000.6,parkrun,1,1,476.0,oauth,True,2024,3,5,7,Saturday,4.276153528243277,5.0006,21.383333333333333
823,11017179428,Cookies,5026.1,1284,1284,2024-03-23 08:04:50+00:00,28.0,161.1,170.0,1284,5026.1,parkrun,1,1,475.0,oauth,True,2024,3,5,8,Saturday,4.257774417540438,5.0261000000000005,21.4
2516,10729696211,Bairnsdale park run,5015.2,1305,1283,2024-02-10 08:02:31+00:00,29.0,170.5,191.0,1283,5015.2,parkrun,1,1,443.0,oauth,True,2024,2,5,8,Saturday,4.26370500345616,5.0152,21.383333333333333
824,10635512729,Parky cooky,5028.0,1327,1327,2024-01-27 08:03:06+00:00,24.0,160.6,172.0,1327,5028.0,parkrun,1,1,501.0,oauth,True,2024,1,5,8,Saturday,4.398700609917794,5.028,22.116666666666667
834,10590488430,Tuggers parky,4912.2,1252,1252,2024-01-20 08:00:21+00:00,15.0,162.8,176.0,1252,4912.2,parkrun,1,1,519.0,oauth,True,2024,1,5,8,Saturday,4.24792693022814,4.9121999999999995,20.866666666666667
2517,10590721365,Fingal bay park run,5012.4,1299,1278,2024-01-20 08:00:18+00:00,25.0,175.9,194.0,1278,5012.4,parkrun,1,1,482.0,oauth,True,2024,1,5,8,Saturday,4.249461335887001,5.0123999999999995,21.3
835,10501226820,Devonport parky,4976.5,1235,1231,2024-01-06 08:02:01+00:00,5.0,162.5,176.0,1231,4976.5,parkrun,1,1,519.0,oauth,True,2024,1,5,8,Saturday,4.122710070665461,4.9765,20.516666666666666
836,10458687835,Cookies,5023.9,1306,1306,2023-12-30 08:04:37+00:00,25.0,163.0,173.0,1306,5023.9,parkrun,1,1,488.0,oauth,True,2023,12,5,8,Saturday,4.332623393512344,5.023899999999999,21.766666666666666
658,10458510945,Queanbeyan parkrun - 24:17,4984.7,1458,1458,2023-12-30 08:01:36+00:00,95.0,153.8,171.0,1458,4984.7,parkrun,1,1,512.0,oauth,True,2023,12,5,8,Saturday,4.874917246775132,4.9847,24.3
659,10432154859,Cooks River parkrun - 26:21,5019.7,1580,1580,2023-12-25 08:00:47+00:00,27.0,141.5,157.0,1580,5019.7,parkrun,1,1,483.0,oauth,True,2023,12,0,8,Monday,5.24599743676581,5.019699999999999,26.333333333333332
837,10432181410,Cookies Christmas parky,5030.0,1294,1294,2023-12-25 08:00:47+00:00,25.0,161.8,179.0,1294,5030.0,parkrun,1,1,505.0,oauth,True,2023,12,0,8,Monday,4.287607687210072,5.03,21.566666666666666
838,10421524315,Tuggers parky,4935.1,1260,1260,2023-12-23 07:59:07+00:00,12.0,161.7,174.0,1260,4935.1,parkrun,1,1,512.0,oauth,True,2023,12,5,7,Saturday,4.255232923345018,4.9351,21.0
661,10349852052,Southern Highlands Botanical Gardens parkrun - 24:01,5023.0,1441,1441,2023-12-09 07:59:04+00:00,64.0,155.3,167.0,1441,5023.0,parkrun,1,1,518.0,oauth,True,2023,12,5,7,Saturday,4.781339173136904,5.023,24.016666666666666
662,10275644817,Galston parkrun - 25:39,4913.0,1539,1539,2023-11-25 08:01:35+00:00,89.0,144.4,166.0,1539,4913.0,parkrun,1,1,618.0,oauth,True,2023,11,5,8,Saturday,5.220842662324444,4.913,25.65
663,10195817143,North Sydney parkrun - 25:40,4882.7,1540,1540,2023-11-11 08:02:32+00:00,35.0,147.2,168.0,1540,4882.7,parkrun,1,1,500.0,oauth,True,2023,11,5,8,Saturday,5.256654446651785,4.8827,25.666666666666668
664,10155162567,Umbagong District parkrun - 24:14,5033.0,1453,1453,2023-11-04 08:01:32+00:00,47.0,147.4,172.0,1453,5033.0,parkrun,1,1,507.0,oauth,True,2023,11,5,8,Saturday,4.8115769256242125,5.033,24.216666666666665
841,10116124852,Karen 250 cookies parky,4977.6,1312,1312,2023-10-28 08:00:16+00:00,17.7,178.2,220.0,1312,4977.6,parkrun,1,1,465.0,oauth,True,2023,10,5,8,Saturday,4.393014036215579,4.977600000000001,21.866666666666667
2520,10074377893,Fingal bay park run,4925.5,1246,1246,2023-10-21 08:04:38+00:00,29.0,184.6,205.0,1246,4925.5,parkrun,1,1,431.0,oauth,True,2023,10,5,8,Saturday,4.2161540283558345,4.9255,20.766666666666666
665,10074332179,Nambour parkrun - 32:14,4926.0,1932,1932,2023-10-21 07:07:34+00:00,178.0,152.9,169.0,1932,4926.0,parkrun,1,1,537.0,oauth,True,2023,10,5,7,Saturday,6.536743808363784,4.926,32.2
667,10033129554,Westerfolds parkrun - 25:59,5008.9,1559,1559,2023-10-14 08:01:07+00:00,75.0,142.2,161.0,1559,5008.9,parkrun,1,1,593.0,oauth,True,2023,10,5,8,Saturday,5.187433035862831,5.0089,25.983333333333334
668,9989738485,Zillmere parkrun - 24:54,4984.7,1495,1495,2023-10-07 07:00:07+00:00,29.0,150.4,166.0,1495,4984.7,parkrun,1,1,394.0,oauth,True,2023,10,5,7,Saturday,4.998629138497135,4.9847,24.916666666666668
669,9945783726,Wentworth Common parkrun - 23:20,5031.4,1405,1405,2023-09-30 08:03:31+00:00,27.0,154.6,168.0,1405,5031.4,parkrun,1,1,588.0,oauth,True,2023,9,5,8,Saturday,4.654105550476342,5.0314,23.416666666666668
671,9764685356,Cooks River parkrun - 23:06,5011.4,1387,1387,2023-09-02 08:02:53+00:00,29.0,150.8,169.0,1387,5011.4,parkrun,1,1,507.0,oauth,True,2023,9,5,8,Saturday,4.612816112596613,5.0114,23.116666666666667
844,9764599074,Cookies,4993.0,1273,1273,2023-09-02 08:02:53+00:00,17.8,166.1,178.0,1273,4993.0,parkrun,1,1,446.0,oauth,True,2023,9,5,8,Saturday,4.249282328593363,4.993,21.216666666666665
673,9675111978,Avondale University College parkrun - 26:11,5005.9,1576,1576,2023-08-19 08:04:08+00:00,14.0,142.9,162.0,1576,5005.9,parkrun,1,1,508.0,oauth,True,2023,8,5,8,Saturday,5.247141706120112,5.0059,26.266666666666666
845,9675020842,Coombs parky,5022.9,1287,1287,2023-08-19 08:00:57+00:00,35.3,164.9,181.0,1287,5022.9,parkrun,1,1,485.0,oauth,True,2023,8,5,8,Saturday,4.270441378486532,5.0229,21.45
675,9629114559,East Richmond parkrun - 25:08,5038.1,1508,1508,2023-08-12 08:00:23+00:00,12.0,146.8,165.0,1508,5038.1,parkrun,1,1,456.0,oauth,True,2023,8,5,8,Saturday,4.9886531298174575,5.0381,25.133333333333333
676,9583973489,Kirkdale Reserve parkrun - 24:06,5016.4,1446,1446,2023-08-05 08:05:09+00:00,31.0,150.6,167.0,1446,5016.4,parkrun,1,1,559.0,oauth,True,2023,8,5,8,Saturday,4.804242085958058,5.0164,24.1
677,9540023263,Cooks River parkrun - 21:54,4969.9,1314,1314,2023-07-29 08:02:22+00:00,23.0,152.4,169.0,1314,4969.9,parkrun,1,1,501.0,oauth,True,2023,7,5,8,Saturday,4.406527294311757,4.9699,21.9
678,9496367662,The Ponds parkrun - 24:38,5010.9,1489,1489,2023-07-22 08:02:48+00:00,28.0,143.5,163.0,1489,5010.9,parkrun,1,1,469.0,oauth,True,2023,7,5,8,Saturday,4.9525368031025705,5.0108999999999995,24.816666666666666
679,9408209008,Wildflower parkrun - 26:06,4776.4,1566,1562,2023-07-08 08:03:00+00:00,133.0,147.6,172.0,1562,4776.4,parkrun,1,1,605.0,oauth,True,2023,7,5,8,Saturday,5.450408955140553,4.7764,26.033333333333335
848,9364751629,Panania parky,4924.0,1243,1238,2023-07-01 08:03:24+00:00,0.0,131.9,144.0,1238,4924.0,parkrun,1,1,426.0,oauth,True,2023,7,5,8,Saturday,4.1903601408069315,4.924,20.633333333333333
680,9364778726,Mt Penang parkrun - 23:53,4939.9,1433,1433,2023-07-01 08:00:42+00:00,35.0,151.3,169.0,1433,4939.9,parkrun,1,1,620.0,oauth,True,2023,7,5,8,Saturday,4.834780731053935,4.9399,23.883333333333333
2524,9322099097,ğŸš¾ PARKRUN,5019.2,1217,1217,2023-06-24 08:04:39+00:00,24.0,172.0,188.0,1217,5019.2,parkrun,1,1,578.0,oauth,True,2023,6,5,8,Saturday,4.0411486558282865,5.0192,20.283333333333335
850,9322479777,Wenty parkrun,5024.6,1254,1254,2023-06-24 08:04:38+00:00,18.8,152.4,177.0,1254,5024.6,parkrun,1,1,551.0,oauth,True,2023,6,5,8,Saturday,4.159535087370139,5.0246,20.9
852,9278902366,Cookies,4974.6,1273,1268,2023-06-17 08:03:25+00:00,17.0,162.1,181.0,1268,4974.6,parkrun,1,1,457.0,oauth,True,2023,6,5,8,Saturday,4.2482477653144635,4.974600000000001,21.133333333333333
681,9235532404,Cooks River parkrun - 24:45,5031.7,1483,1483,2023-06-10 08:02:29+00:00,32.0,149.6,170.0,1483,5031.7,parkrun,1,1,512.0,oauth,True,2023,6,5,8,Saturday,4.912190048426311,5.0317,24.716666666666665
856,9190640764,Dolls Point parkrun,4975.8,1240,1236,2023-06-03 08:01:50+00:00,4.8,167.0,177.0,1236,4975.8,parkrun,1,1,343.0,oauth,True,2023,6,5,8,Saturday,4.140037782869086,4.9758000000000004,20.6
682,9190703177,Cooks River parkrun - 24:27,5011.6,1468,1468,2023-06-03 08:01:17+00:00,23.0,148.4,168.0,1468,5011.6,parkrun,1,1,528.0,oauth,True,2023,6,5,8,Saturday,4.88200707691489,5.0116000000000005,24.466666666666665
683,9146549154,St Peters parkrun - 23:23,4983.8,1403,1403,2023-05-27 08:03:55+00:00,57.0,147.8,163.0,1403,4983.8,parkrun,1,1,546.0,oauth,True,2023,5,5,8,Saturday,4.691868320023542,4.9838000000000005,23.383333333333333
858,9146787464,Sydney Park parkrun,4949.7,1285,1285,2023-05-27 08:03:55+00:00,52.3,166.6,197.0,1285,4949.7,parkrun,1,1,535.0,oauth,True,2023,5,5,8,Saturday,4.326861560633304,4.9497,21.416666666666668
684,9102740008,Greenway parkrun - 25:28,5044.9,1526,1526,2023-05-20 08:02:00+00:00,12.0,148.5,167.0,1526,5044.9,parkrun,1,1,516.0,oauth,True,2023,5,5,8,Saturday,5.041394940104529,5.044899999999999,25.433333333333334
